attributes,business_id,categories,city,full_address,hours,latitude,longitude,name,neighborhoods,open,review_count,stars,state,type,zip_code
"{'Music': {'jukebox': False, 'video': False, 'dj': False, 'karaoke': False, 'live': False, 'background_music': False}, 'Coat Check': False, 'Good For Dancing': False, 'Happy Hour': True, 'Alcohol': 'full_bar', 'Wheelchair Accessible': True, 'Good For Groups': True, 'Outdoor Seating': True, 'Accepts Credit Cards': True, 'Has TV': False, 'Noise Level': 'quiet', 'Smoking': 'no', 'Good for Kids': True, 'Ambience': {'upscale': False, 'hipster': False, 'classy': False, 'casual': True, 'touristy': False, 'divey': False, 'romantic': False, 'intimate': False, 'trendy': False}, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Price Range': 2}",qMkIbQFrROSnPaQ7at85-w,"['Arts & Entertainment', 'Music Venues', 'Parks', 'Nightlife', 'Active Life', 'Botanical Gardens']",Phoenix,"1201 N Galvin Pkwy
Phoenix, AZ 85008","{'Sunday': {'close': '20:00', 'open': '08:00'}, 'Saturday': {'close': '20:00', 'open': '08:00'}, 'Tuesday': {'close': '20:00', 'open': '08:00'}, 'Monday': {'close': '20:00', 'open': '08:00'}, 'Friday': {'close': '20:00', 'open': '08:00'}, 'Thursday': {'close': '20:00', 'open': '08:00'}, 'Wednesday': {'close': '20:00', 'open': '08:00'}}",33.4620773,-111.9450978,Desert Botanical Garden,[],True,435,4.5,AZ,business,85008
{'Good for Kids': True},1Ap6ZNCvyLLKHP0wvCk9yA,"['Active Life', 'Zoos']",Phoenix,"455 N Galvin Pkwy
Phoenix, AZ 85008","{'Sunday': {'close': '17:00', 'open': '09:00'}, 'Saturday': {'close': '17:00', 'open': '09:00'}, 'Tuesday': {'close': '17:00', 'open': '09:00'}, 'Monday': {'close': '17:00', 'open': '09:00'}, 'Friday': {'close': '17:00', 'open': '09:00'}, 'Thursday': {'close': '17:00', 'open': '09:00'}, 'Wednesday': {'close': '17:00', 'open': '09:00'}}",33.4512357,-111.949955,Phoenix Zoo,[],True,286,4.0,AZ,business,85008
"{'Music': {'jukebox': False, 'video': False, 'dj': False, 'karaoke': False, 'live': False, 'background_music': True}, 'Coat Check': False, 'Good For Dancing': False, 'Happy Hour': True, 'Alcohol': 'beer_and_wine', 'Wheelchair Accessible': True, 'Good For Groups': True, 'Outdoor Seating': True, 'Accepts Credit Cards': True, 'Has TV': True, 'Noise Level': 'average', 'Smoking': 'outdoor', 'Ambience': {'upscale': False, 'hipster': False, 'classy': False, 'casual': True, 'touristy': False, 'divey': False, 'romantic': False, 'intimate': False, 'trendy': False}, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Price Range': 2}",3UMcsN9IjoeV8JZvC4apag,"['Pubs', 'Food', 'Bars', 'Breweries', 'Nightlife']",Phoenix,"322 E Camelback Rd
Phoenix, AZ 85012","{'Sunday': {'close': '23:00', 'open': '11:00'}, 'Saturday': {'close': '00:00', 'open': '11:00'}, 'Tuesday': {'close': '23:00', 'open': '11:00'}, 'Monday': {'close': '23:00', 'open': '11:00'}, 'Friday': {'close': '00:00', 'open': '11:00'}, 'Thursday': {'close': '23:00', 'open': '11:00'}, 'Wednesday': {'close': '23:00', 'open': '11:00'}}",33.5094087,-112.0687564,SunUp Brewing Co,[],True,225,3.5,AZ,business,85012
"{'Wi-Fi': 'free', 'Alcohol': 'full_bar', 'Wheelchair Accessible': True, 'Good For Groups': True, 'Noise Level': 'average', 'Outdoor Seating': True, 'Dogs Allowed': True, 'Take-out': True, 'BYOB': False, 'Takes Reservations': False, 'Attire': 'casual', 'BYOB/Corkage': 'no', 'Accepts Credit Cards': True, 'Has TV': False, 'Delivery': False, 'Caters': True, 'Good for Kids': True, 'Good For Kids': True, 'Good For': {'dinner': False, 'breakfast': False, 'latenight': False, 'dessert': False, 'lunch': True, 'brunch': False}, 'Waiter Service': False, 'Parking': {'street': False, 'lot': True, 'valet': True, 'validated': False, 'garage': False}, 'Price Range': 2, 'Ambience': {'upscale': False, 'hipster': False, 'classy': False, 'casual': False, 'touristy': False, 'divey': False, 'romantic': False, 'intimate': False, 'trendy': True}}",R8VwdLyvsp9iybNqRvm94g,"['Food', 'Grocery']",Phoenix,"4410 N 40th St
Phoenix, AZ 85018","{'Sunday': {'close': '22:00', 'open': '06:30'}, 'Saturday': {'close': '22:00', 'open': '06:30'}, 'Tuesday': {'close': '22:00', 'open': '06:30'}, 'Monday': {'close': '22:00', 'open': '06:30'}, 'Friday': {'close': '22:00', 'open': '06:30'}, 'Thursday': {'close': '22:00', 'open': '06:30'}, 'Wednesday': {'close': '22:00', 'open': '06:30'}}",33.502312625663,-111.99575216742,La Grande Orange Grocery,[],True,597,4.0,AZ,business,85018
{'Wi-Fi': 'free'},hW0Ne_HTHEAgGF1rAdmR-g,"['Hotels & Travel', 'Airports']",Phoenix,"3400 E Sky Harbor Blvd
Phoenix, AZ 85034","{'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Monday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}}",33.4347496032715,-112.006439208984,Phoenix Sky Harbor International Airport,[],True,1512,3.5,AZ,business,85034
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Wi-Fi': 'paid'}",SYqTY48DJa1cYhglvmgvsQ,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Scottsdale,"6902 East Greenway Parkway
Scottsdale, AZ 85254",{},33.6247596,-111.9329381,The Westin Kierland Resort & Spa,[],True,201,4.0,AZ,business,85254
"{'Take-out': False, 'Wi-Fi': 'free', 'Takes Reservations': True, 'Wheelchair Accessible': False, 'Good For Groups': True, 'Attire': 'casual', 'Outdoor Seating': True, 'Accepts Credit Cards': True, 'Has TV': True, 'Noise Level': 'very_loud', 'Delivery': True, 'Caters': False, 'Price Range': 3, 'Good for Kids': True, 'Alcohol': 'full_bar', 'Good For': {'dinner': True, 'breakfast': True, 'latenight': False, 'dessert': False, 'lunch': True, 'brunch': False}, 'Waiter Service': True, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Good For Kids': True, 'Ambience': {'upscale': False, 'hipster': False, 'classy': False, 'casual': False, 'touristy': False, 'divey': False, 'romantic': False, 'intimate': False, 'trendy': False}}",xtX2qS64zP2NRPV_7NNqHw,"['Hotels & Travel', 'Event Planning & Services', 'Venues & Event Spaces', 'Hotels']",Scottsdale,"7500 E Doubletree Ranch Rd
Scottsdale, AZ 85258","{'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Monday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}}",33.5666361,-111.9186835,Hyatt Regency Scottsdale Resort & Spa at Gainey Ranch,[],True,245,4.5,AZ,business,85258
{'Wi-Fi': 'no'},bA-Cj6N9TEMlDlOh2aAnUw,"['Hotels & Travel', 'Airlines', 'Transportation']",Phoenix,"4000 E Sky Harbor Blvd
Phoenix, AZ 85034",{},33.4360262,-111.9954374,US Airways,[],True,393,2.0,AZ,business,85034
"{'By Appointment Only': False, 'Price Range': 2, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Good for Kids': True, 'Accepts Credit Cards': True}",u0NbikWwP7TVkMkCily-4g,"['Museums', 'Arts & Entertainment', 'Art Galleries', 'Shopping']",Phoenix,"1625 N Central Ave
Phoenix, AZ 85004","{'Sunday': {'close': '17:00', 'open': '12:00'}, 'Saturday': {'close': '17:00', 'open': '10:00'}, 'Tuesday': {'close': '17:00', 'open': '10:00'}, 'Friday': {'close': '17:00', 'open': '10:00'}, 'Thursday': {'close': '17:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}}",33.4673017,-112.0734116,Phoenix Art Museum,[],True,241,4.5,AZ,business,85004
"{'Accepts Credit Cards': True, 'Price Range': 3, 'Wi-Fi': 'paid'}",O_ZNZDr6c5CsK6GgsKdDeQ,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Scottsdale,"6000 East Camelback Road
Scottsdale, AZ 85251",{},33.5047034,-111.9501368,The Phoenician,[],True,255,4.0,AZ,business,85251
"{'Music': {'live': True, 'video': False, 'jukebox': False, 'dj': False}, 'Coat Check': False, 'Good For Dancing': True, 'Happy Hour': False, 'Alcohol': 'full_bar', 'Wheelchair Accessible': True, 'Good For Groups': True, 'Outdoor Seating': False, 'Accepts Credit Cards': True, 'Has TV': False, 'Noise Level': 'very_loud', 'Smoking': 'outdoor', 'Good for Kids': False, 'Ambience': {'upscale': False, 'hipster': False, 'classy': False, 'casual': False, 'touristy': False, 'divey': True, 'romantic': False, 'intimate': False, 'trendy': False}, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Price Range': 2}",FGePlnlKXHxBrxYMNGtdAw,"['Arts & Entertainment', 'Nightlife', 'Music Venues']",Tempe,"730 N Mill Ave
Tempe, AZ 85281","{'Monday': {'close': '18:00', 'open': '12:00'}, 'Friday': {'close': '18:00', 'open': '12:00'}, 'Thursday': {'close': '18:00', 'open': '12:00'}, 'Tuesday': {'close': '18:00', 'open': '12:00'}, 'Wednesday': {'close': '18:00', 'open': '12:00'}}",33.4368906,-111.94373,Marquee Theatre,[],True,217,3.0,AZ,business,85281
{'Good for Kids': True},0UZ31UTcOLRKuqPqPe-VBA,"['Arts & Entertainment', 'Stadiums & Arenas']",Phoenix,"401 E Jefferson
Phoenix, AZ 85004",{},33.444799,-112.066662,Chase Field,[],True,351,4.0,AZ,business,85004
"{'Open 24 Hours': False, 'Wheelchair Accessible': True, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Price Range': 1, 'Accepts Credit Cards': True}",Nj6ITW0Zhl7LpovGIH6SAg,"['Fashion', 'Shopping', 'Shoe Stores', 'Outlet Stores']",Phoenix,"1919 E Camelback Rd
Ste 1
Phoenix, AZ 85016","{'Sunday': {'close': '19:00', 'open': '11:00'}, 'Saturday': {'close': '20:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Monday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}}",33.5090018,-112.0409994,Last Chance Bargain Shoes & Apparel,[],True,314,3.5,AZ,business,85016
"{'Wheelchair Accessible': True, 'Parking': {'street': False, 'lot': False, 'valet': False, 'validated': False, 'garage': True}, 'Price Range': 3, 'Accepts Credit Cards': True}",Hdi7jkB7pHiM1nyPHcqSdw,"['Shopping Centers', 'Shopping']",Scottsdale,"7014 E Camelback Rd
Scottsdale, AZ 85251","{'Sunday': {'close': '18:00', 'open': '11:00'}, 'Saturday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Monday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}}",33.5025941,-111.9296765,Scottsdale Fashion Square,[],True,316,4.0,AZ,business,85251
{'Good for Kids': True},6rijZ1qIjiq1Dgdy35iqxw,"['Active Life', 'Climbing', 'Hiking', 'Parks']",Phoenix,"5701 N Echo Canyon Pkwy
Phoenix, AZ 85018",{},33.5219518275351,-111.97437286377,Camelback Mountain,[],True,333,4.5,AZ,business,85018
"{'Take-out': True, 'Wi-Fi': 'free', 'Takes Reservations': False, 'Wheelchair Accessible': True, 'Good For Groups': True, 'Order at Counter': True, 'Outdoor Seating': True, 'Parking': {'street': True, 'lot': False, 'valet': False, 'validated': False, 'garage': False}, 'Attire': 'casual', 'Waiter Service': False, 'Accepts Credit Cards': True, 'Price Range': 1}",jCUOqEK8Lln0PK3GeUl6IQ,"['Food', 'Coffee & Tea']",Phoenix,"4220 N 7th Ave
Phoenix, AZ 85013","{'Sunday': {'close': '21:00', 'open': '06:00'}, 'Saturday': {'close': '23:00', 'open': '06:00'}, 'Tuesday': {'close': '21:00', 'open': '06:00'}, 'Monday': {'close': '21:00', 'open': '06:00'}, 'Friday': {'close': '23:00', 'open': '06:00'}, 'Thursday': {'close': '21:00', 'open': '06:00'}, 'Wednesday': {'close': '21:00', 'open': '06:00'}}",33.4974525,-112.083878,Copper Star Coffee,[],True,316,4.0,AZ,business,85013
"{'Wheelchair Accessible': True, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Price Range': 2, 'Accepts Credit Cards': True}",WUZxVr_CaRqEQgzvyeK5tw,"['Shopping', 'Home Decor', 'Home & Garden', 'Furniture Stores']",Tempe,"2110 W Ikea Way
Tempe, AZ 85281","{'Sunday': {'close': '19:00', 'open': '10:00'}, 'Saturday': {'close': '21:00', 'open': '10:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Monday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}}",33.3386866003275,-111.969744041562,IKEA,[],True,303,3.5,AZ,business,85281
"{'Wheelchair Accessible': True, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Price Range': 2, 'Accepts Credit Cards': True}",GwSdGrvaXi4BdXNSWKn-EA,"['Books, Mags, Music & Video', 'Shopping', 'Bookstores']",Tempe,"6428 S McClintock Dr
Tempe, AZ 85283","{'Sunday': {'close': '18:00', 'open': '10:00'}, 'Saturday': {'close': '21:00', 'open': '09:00'}, 'Tuesday': {'close': '21:00', 'open': '10:00'}, 'Monday': {'close': '21:00', 'open': '10:00'}, 'Friday': {'close': '21:00', 'open': '10:00'}, 'Thursday': {'close': '21:00', 'open': '10:00'}, 'Wednesday': {'close': '21:00', 'open': '10:00'}}",33.3624563,-111.9126663,Changing Hands Bookstore,[],True,200,4.5,AZ,business,85283
"{'By Appointment Only': False, 'Wi-Fi': 'free', 'Accepts Insurance': False, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Price Range': 2, 'Accepts Credit Cards': True}",8ZwO9VuLDWJOXmtAdc7LXQ,"['Day Spas', 'Hotels & Travel', 'Beauty & Spas', 'Event Planning & Services', 'Hotels']",Phoenix,"401 W Clarendon Ave
Phoenix, AZ 85013","{'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Monday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}}",33.491112,-112.0791977,The Clarendon Hotel,[],True,322,3.5,AZ,business,85013
"{'Dogs Allowed': True, 'Accepts Credit Cards': True, 'Price Range': 3, 'Wi-Fi': 'paid'}",9mfec4ySQpW8doGs3FUP2Q,"['Hotels & Travel', 'Resorts', 'Event Planning & Services', 'Hotels']",Scottsdale,"7575 East Princess Drive
Scottsdale, AZ 85255",{},33.6455682097528,-111.917118430138,Fairmont Scottsdale Princess,[],True,208,4.0,AZ,business,85255
"{'By Appointment Only': False, 'Music': {'live': True, 'video': False, 'jukebox': False, 'dj': True}, 'Coat Check': False, 'Good For Dancing': True, 'Happy Hour': True, 'Alcohol': 'beer_and_wine', 'Wheelchair Accessible': True, 'Good For Groups': True, 'Outdoor Seating': True, 'Accepts Credit Cards': True, 'Has TV': False, 'Noise Level': 'loud', 'Smoking': 'outdoor', 'Good for Kids': False, 'Ambience': {'upscale': False, 'hipster': True, 'classy': False, 'casual': False, 'touristy': False, 'divey': False, 'romantic': False, 'intimate': False, 'trendy': False}, 'Parking': {'street': True, 'lot': False, 'valet': False, 'validated': False, 'garage': False}, 'Price Range': 1}",pQ3kRVmttsV1bHxuTf7TAg,"['Bars', 'Shopping', 'Music Venues', 'Art Galleries', 'Arts & Entertainment', 'Nightlife']",Phoenix,"914 N 5th St
Phoenix, AZ 85004","{'Sunday': {'close': '02:00', 'open': '12:00'}, 'Saturday': {'close': '02:00', 'open': '12:00'}, 'Tuesday': {'close': '02:00', 'open': '17:00'}, 'Monday': {'close': '02:00', 'open': '17:00'}, 'Friday': {'close': '02:00', 'open': '17:00'}, 'Thursday': {'close': '02:00', 'open': '17:00'}, 'Wednesday': {'close': '02:00', 'open': '17:00'}}",33.4581958,-112.0676886,The Lost Leaf,[],True,279,4.0,AZ,business,85004
"{'Dogs Allowed': True, 'Accepts Credit Cards': True, 'Price Range': 3, 'Wi-Fi': 'paid'}",6Kon3cR5ZEm5rmYKlpcfcw,"['Hotels & Travel', 'Event Planning & Services', 'Hotels']",Scottsdale,"6850 E Main St
Scottsdale, AZ 85251","{'Sunday': {'close': '23:30', 'open': '00:00'}, 'Saturday': {'close': '23:30', 'open': '00:00'}, 'Tuesday': {'close': '23:30', 'open': '00:00'}, 'Monday': {'close': '23:30', 'open': '00:00'}, 'Friday': {'close': '23:30', 'open': '00:00'}, 'Thursday': {'close': '23:30', 'open': '00:00'}, 'Wednesday': {'close': '23:30', 'open': '00:00'}}",33.4930514,-111.9339561,Hotel Valley Ho,[],True,321,4.0,AZ,business,85251
"{'Take-out': False, 'Wi-Fi': 'no', 'Takes Reservations': True, 'Good For Groups': True, 'Attire': 'casual', 'Outdoor Seating': False, 'Accepts Credit Cards': True, 'Has TV': True, 'Noise Level': 'average', 'Delivery': False, 'Caters': False, 'Good for Kids': True, 'Alcohol': 'full_bar', 'Good For': {'dinner': True, 'breakfast': False, 'latenight': False, 'dessert': False, 'lunch': False, 'brunch': False}, 'Waiter Service': True, 'Parking': {'street': False, 'lot': False, 'valet': False, 'validated': False, 'garage': True}, 'Price Range': 2, 'Ambience': {'upscale': False, 'hipster': False, 'classy': False, 'casual': True, 'touristy': False, 'divey': False, 'romantic': False, 'intimate': False, 'trendy': False}}",EmlgWjs1ZzZEpDjZCSPLmw,"['Arts & Entertainment', 'Cinema']",Phoenix,"2515 E Camelback Rd
Phoenix, AZ 85016",{},33.5090903,-112.0263625,AMC Dine-in Theatres Esplanade 14,[],True,371,3.5,AZ,business,85016
"{'Delivery': False, 'Wheelchair Accessible': True, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}, 'Price Range': 2, 'Accepts Credit Cards': True}",YkFBelUWinftlweJzuiIAw,"['Bakeries', 'Food', 'Desserts']",Phoenix,"4711 N 7th St
Phoenix, AZ 85014","{'Sunday': {'close': '16:00', 'open': '10:00'}, 'Saturday': {'close': '17:00', 'open': '09:00'}, 'Tuesday': {'close': '18:00', 'open': '09:00'}, 'Monday': {'close': '18:00', 'open': '09:00'}, 'Friday': {'close': '18:00', 'open': '09:00'}, 'Thursday': {'close': '18:00', 'open': '09:00'}, 'Wednesday': {'close': '18:00', 'open': '09:00'}}",33.5060469,-112.0646601,Urban Cookies,[],True,249,4.5,AZ,business,85014
{'Accepts Credit Cards': True},inDYSqSDMyrfBhOZc702rw,"['Professional Services', 'Television Service Providers', 'Home Services', 'Internet Service Providers']",Phoenix,"Phoenix, AZ 85027","{'Sunday': {'close': '00:00', 'open': '00:00'}, 'Saturday': {'close': '00:00', 'open': '00:00'}, 'Tuesday': {'close': '00:00', 'open': '00:00'}, 'Monday': {'close': '00:00', 'open': '00:00'}, 'Friday': {'close': '00:00', 'open': '00:00'}, 'Thursday': {'close': '00:00', 'open': '00:00'}, 'Wednesday': {'close': '00:00', 'open': '00:00'}}",33.6782379,-112.1012912,Cox Communications,[],True,294,1.5,AZ,business,85027
"{'By Appointment Only': False, 'Wi-Fi': 'free', 'Wheelchair Accessible': True, 'Accepts Credit Cards': True, 'Price Range': 3, 'Parking': {'street': False, 'lot': True, 'valet': False, 'validated': False, 'garage': False}}",UKgSs_SJzW9fu4CwhIV1yA,"['Beauty & Spas', 'Venues & Event Spaces', 'Event Planning & Services', 'Hotels & Travel', 'Day Spas', 'Hotels']",Scottsdale,"4925 N Scottsdale Rd
Scottsdale, AZ 85251",{},33.5088053,-111.9252515,"Firesky Resort & Spa, a Kimpton Hotel",[],True,248,4.0,AZ,business,85251
